jar number,date1,time1,c1,date2,time2,c2,date3,time3,c3,Set,Addition,WetMass_g,Water_Cont,DryMass_g,Plot,C_Cont,CMass_g
1,2021-11-01,11:47,448,2021-11-01,13:44,703,2021-11-01,20:23,1161,Before,G,16.33,62.63736264,10.22868132,4,5.625826359,0.57544785
2,2021-11-01,11:47,450,2021-11-01,13:45,716,2021-11-01,20:23,1170,Before,G,16.4,62.63736264,10.27252747,4,5.625826359,0.577914558
3,2021-11-01,11:48,479,2021-11-01,13:45,627,2021-11-01,20:24,1150,Before,V,14.46,62.63736264,9.057362638,4,5.625826359,0.509551495
4,2021-11-01,11:48,474,2021-11-01,13:45,601,2021-11-01,20:24,1048,Before,V,16.35,62.63736264,10.24120879,4,5.625826359,0.576152624
5,2021-11-01,11:49,507,2021-11-01,13:46,672,2021-11-01,20:24,1123,Before,L,16.04,62.63736264,10.04703297,4,5.625826359,0.565228629
6,2021-11-01,11:49,565,2021-11-01,13:46,780,2021-11-01,20:25,1121,Before,X,16.38,62.63736264,10.26,4,5.625826359,0.577209784
7,2021-11-01,11:50,631,2021-11-01,13:46,680,2021-11-01,20:25,1153,Before,G,20.3,64.21568627,13.03578431,5,5.343995094,0.696631674
8,2021-11-01,11:50,542,2021-11-01,13:47,632,2021-11-01,20:25,1257,Before,G,19.29,64.21568627,12.38720588,5,5.343995094,0.661971675
9,2021-11-01,11:51,476,2021-11-01,13:48,629,2021-11-01,20:26,1234,Before,V,20.7,64.21568627,13.29264706,5,5.343995094,0.710358407
10,2021-11-01,11:51,480,2021-11-01,13:49,636,2021-11-01,20:26,1233,Before,V,19.67,64.21568627,12.63122549,5,5.343995094,0.67501207
11,2021-11-01,11:52,494,2021-11-01,13:49,646,2021-11-01,20:26,1209,Before,L,20.11,64.21568627,12.91377451,5,5.343995094,0.690111476
12,2021-11-01,11:52,510,2021-11-01,13:49,661,2021-11-01,20:28,1230,Before,X,20.4,64.21568627,13.1,5,5.343995094,0.700063357
13,2021-11-01,11:53,498,2021-11-01,13:51,645,2021-11-01,20:29,1148,Before,G,17.4,61.66666667,10.73,6,5.636248589,0.604769474
14,2021-11-01,11:53,514,2021-11-01,13:51,629,2021-11-01,20:29,1034,Before,G,18.66,61.66666667,11.507,6,5.636248589,0.648563125
15,2021-11-01,11:54,505,2021-11-01,13:51,627,2021-11-01,20:29,1010,Before,V,18.3,61.66666667,11.285,6,5.636248589,0.636050653
16,2021-11-01,11:54,523,2021-11-01,13:52,624,2021-11-01,20:30,1028,Before,V,17.73,61.66666667,10.9335,6,5.636248589,0.61623924
17,2021-11-01,11:55,514,2021-11-01,13:52,629,2021-11-01,20:30,996,Before,L,17.76,61.66666667,10.952,6,5.636248589,0.617281946
18,2021-11-01,11:55,489,2021-11-01,13:52,602,2021-11-01,20:30,974,Before,X,16.8,61.66666667,10.36,6,5.636248589,0.583915354
19,2021-11-01,11:56,480,2021-11-01,13:53,587,2021-11-01,20:31,968,Before,G,18.03,63.7987013,11.50290584,8,6.065692902,0.697730943
20,2021-11-01,11:56,500,2021-11-01,13:53,606,2021-11-01,20:31,1098,Before,G,18.98,63.7987013,12.10899351,8,6.065692902,0.73449436
21,2021-11-01,11:56,524,2021-11-01,13:53,645,2021-11-01,20:31,1146,Before,V,18.47,63.7987013,11.78362013,8,6.065692902,0.71475821
22,2021-11-01,11:57,514,2021-11-01,13:54,647,2021-11-01,20:32,1098,Before,V,18.53,63.7987013,11.82189935,8,6.065692902,0.71708011
23,2021-11-01,11:57,500,2021-11-01,13:54,645,2021-11-01,20:32,1134,Before,L,19.05,63.7987013,12.1536526,8,6.065692902,0.737203243
24,2021-11-01,11:58,508,2021-11-01,13:54,640,2021-11-01,20:32,1136,Before,X,18.48,63.7987013,11.79,8,6.065692902,0.715145193
25,2021-11-01,11:58,506,2021-11-01,13:55,663,2021-11-01,20:36,1060,Before,G,16.28,55.81787521,9.087150084,19,4.932963848,0.448265828
26,2021-11-01,11:59,554,2021-11-01,13:55,677,2021-11-01,20:36,1035,Before,G,16.1,55.81787521,8.986677909,19,4.932963848,0.443309572
27,2021-11-01,11:59,595,2021-11-01,13:56,678,2021-11-01,20:36,1064,Before,V,16.51,55.81787521,9.215531197,19,4.932963848,0.454598822
28,2021-11-01,12:00,587,2021-11-01,13:56,692,2021-11-01,20:37,1048,Before,V,17.27,55.81787521,9.639747049,19,4.932963848,0.475525237
29,2021-11-01,12:00,525,2021-11-01,13:56,654,2021-11-01,20:37,1027,Before,L,15.11,55.81787521,8.434080944,19,4.932963848,0.416050164
30,2021-11-01,12:01,530,2021-11-01,13:57,631,2021-11-01,20:37,1024,Before,X,17.79,55.81787521,9.93,19,4.932963848,0.48984331
31,2021-11-01,12:01,514,2021-11-01,13:57,625,2021-11-01,20:38,1142,Before,G,19.55,62.88607595,12.29422785,24,7.180594921,0.8827987
32,2021-11-01,12:01,577,2021-11-01,13:57,632,2021-11-01,20:38,1169,Before,G,19.66,62.88607595,12.36340253,24,7.180594921,0.887765854
33,2021-11-01,12:02,568,2021-11-01,13:57,701,2021-11-01,20:38,1184,Before,V,20.04,62.88607595,12.60236962,24,7.180594921,0.904925113
34,2021-11-01,12:02,530,2021-11-01,13:58,682,2021-11-01,20:39,1155,Before,V,20.53,62.88607595,12.91051139,24,7.180594921,0.927051525
35,2021-11-01,12:03,533,2021-11-01,13:58,656,2021-11-01,20:40,1108,Before,L,18.48,62.88607595,11.62134684,24,7.180594921,0.834481841
36,2021-11-01,12:03,539,2021-11-01,13:58,647,2021-11-01,20:40,1097,Before,X,19.75,62.88607595,12.42,24,7.180594921,0.891829889
37,2021-11-01,12:04,515,2021-11-01,13:59,633,2021-11-01,20:41,998,Before,G,17.31,45.38077403,7.855411985,33,10.05654049,0.789982687
38,2021-11-01,12:04,540,2021-11-01,13:59,632,2021-11-01,20:42,942,Before,G,17.2,45.38077403,7.805493133,33,10.05654049,0.784962577
39,2021-11-01,12:05,558,2021-11-01,13:59,636,2021-11-01,20:42,964,Before,V,18.18,45.38077403,8.250224719,33,10.05654049,0.829687189
40,2021-11-01,12:05,554,2021-11-01,14:00,652,2021-11-01,20:42,1067,Before,V,15.78,45.38077403,7.161086142,33,10.05654049,0.720157527
41,2021-11-01,12:06,490,2021-11-01,14:00,634,2021-11-01,20:43,992,Before,L,16.07,45.38077403,7.292690387,33,10.05654049,0.733392362
42,2021-11-01,12:07,519,2021-11-01,14:00,633,2021-11-01,20:43,982,Before,X,16.02,45.38077403,7.27,33,10.05654049,0.731110494
43,2021-11-01,12:07,509,2021-11-01,14:01,602,2021-11-01,20:43,943,Before,G,16.56,59.51417004,9.855546559,35,6.347381592,0.625569148
44,2021-11-01,12:08,505,2021-11-01,14:01,575,2021-11-01,20:44,856,Before,G,14.77,59.51417004,8.790242915,35,6.347381592,0.557950261
45,2021-11-01,12:08,494,2021-11-01,14:01,570,2021-11-01,20:44,790,Before,V,16.11,59.51417004,9.587732793,35,6.347381592,0.608569986
46,2021-11-01,12:09,492,2021-11-01,14:01,560,2021-11-01,20:44,787,Before,V,16.86,59.51417004,10.03408907,35,6.347381592,0.636901922
47,2021-11-01,12:09,493,2021-11-01,14:02,576,2021-11-01,20:44,843,Before,L,15.72,59.51417004,9.35562753,35,6.347381592,0.59383738
48,2021-11-01,12:09,502,2021-11-01,14:02,569,2021-11-01,20:45,831,Before,X,17.29,59.51417004,10.29,35,6.347381592,0.653145566
49,2021-11-01,12:10,527,2021-11-01,14:03,609,2021-11-01,20:46,828,Before,G,17.55,60.62602965,10.6398682,36,9.551564217,1.016273844
50,2021-11-01,12:11,567,2021-11-01,14:04,594,2021-11-01,20:46,774,Before,G,17.15,60.62602965,10.39736408,36,9.551564217,0.993110907
51,2021-11-01,12:12,546,2021-11-01,14:04,567,2021-11-01,20:46,662,Before,V,17.53,60.62602965,10.627743,36,9.551564217,1.015115697
52,2021-11-01,12:12,550,2021-11-01,14:04,595,2021-11-01,20:47,772,Before,V,18.67,60.62602965,11.31887974,36,9.551564217,1.081130067
53,2021-11-01,12:13,554,2021-11-01,14:05,600,2021-11-01,20:47,725,Before,L,18.52,60.62602965,11.22794069,36,9.551564217,1.072443965
54,2021-11-01,12:13,512,2021-11-01,14:05,585,2021-11-01,20:47,761,Before,X,18.21,60.62602965,11.04,36,9.551564217,1.054492689
55,2021-11-01,12:14,581,2021-11-01,14:05,577,2021-11-01,20:48,823,Before,G,17.51,54.4332211,9.531257015,37,7.161242485,0.682556427
56,2021-11-01,12:14,541,2021-11-01,14:06,593,2021-11-01,20:48,820,Before,G,16.9,54.4332211,9.199214366,37,7.161242485,0.658778047
57,2021-11-01,12:14,551,2021-11-01,14:06,590,2021-11-01,20:48,773,Before,V,16.56,54.4332211,9.014141414,37,7.161242485,0.645524525
58,2021-11-01,12:15,557,2021-11-01,14:07,589,2021-11-01,20:48,819,Before,V,16.26,54.4332211,8.850841751,37,7.161242485,0.63383024
59,2021-11-01,12:15,547,2021-11-01,14:08,600,2021-11-01,20:49,813,Before,L,16.3,54.4332211,8.872615039,37,7.161242485,0.635389478
60,2021-11-01,12:16,534,2021-11-01,14:09,593,2021-11-01,20:49,805,Before,X,17.82,54.4332211,9.7,37,7.161242485,0.694640521
61,2021-11-01,12:16,531,2021-11-01,14:09,620,2021-11-01,20:50,809,Before,G,15.47,52.36952609,8.101565686,43,8.453521729,0.684867616
62,2021-11-01,12:17,534,2021-11-01,14:10,619,2021-11-01,20:50,802,Before,G,16.96,52.36952609,8.881871625,43,8.453521729,0.750830948
63,2021-11-01,12:17,593,2021-11-01,14:10,640,2021-11-01,20:50,808,Before,V,16.98,52.36952609,8.89234553,43,8.453521729,0.751716362
64,2021-11-01,12:18,608,2021-11-01,14:10,671,2021-11-01,20:50,897,Before,V,15.65,52.36952609,8.195830833,43,8.453521729,0.69283634
65,2021-11-01,12:18,564,2021-11-01,14:11,644,2021-11-01,20:51,863,Before,L,16.49,52.36952609,8.635734852,43,8.453521729,0.730023722
66,2021-11-01,12:19,555,2021-11-01,14:11,630,2021-11-01,20:51,819,Before,X,16.67,52.36952609,8.729999999,43,8.453521729,0.737992447
67,2021-11-01,12:19,566,2021-11-01,14:12,681,2021-11-01,20:51,1030,Before,G,16.28,49.75216853,8.099653037,47,18.55317497,1.5027428
68,2021-11-01,12:19,609,2021-11-01,14:12,682,2021-11-01,20:52,1039,Before,G,16.22,49.75216853,8.069801736,47,18.55317497,1.497204436
69,2021-11-01,12:20,631,2021-11-01,14:13,689,2021-11-01,20:52,1092,Before,V,15.7,49.75216853,7.811090459,47,18.55317497,1.44920528
70,2021-11-01,12:20,587,2021-11-01,14:13,726,2021-11-01,20:52,993,Before,V,16.16,49.75216853,8.039950434,47,18.55317497,1.491666072
71,2021-11-01,12:21,653,2021-11-01,14:13,749,2021-11-01,20:53,988,Before,L,15.37,49.75216853,7.646908303,47,18.55317497,1.418744277
72,2021-11-01,12:21,637,2021-11-01,14:14,725,2021-11-01,20:53,1021,Before,X,16.14,49.75216853,8.030000001,47,18.55317497,1.48981995
1,2021-11-02,9:19,536,2021-11-02,16:21,1668,2021-11-03,11:15,4006,During,G,16.33,62.63736264,10.22868132,4,5.625826359,0.57544785
2,2021-11-02,9:20,531,2021-11-02,16:22,1877,2021-11-03,11:16,4268,During,G,16.4,62.63736264,10.27252747,4,5.625826359,0.577914558
3,2021-11-02,9:21,571,2021-11-02,16:22,1068,2021-11-03,11:16,2156,During,V,14.46,62.63736264,9.057362638,4,5.625826359,0.509551495
4,2021-11-02,9:23,593,2021-11-02,16:25,1202,2021-11-03,11:17,2249,During,V,16.35,62.63736264,10.24120879,4,5.625826359,0.576152624
5,2021-11-02,9:24,571,2021-11-02,16:25,1761,2021-11-03,11:17,2382,During,L,16.04,62.63736264,10.04703297,4,5.625826359,0.565228629
6,2021-11-02,9:25,579,2021-11-02,16:26,824,2021-11-03,11:18,1373,During,X,16.38,62.63736264,10.26,4,5.625826359,0.577209784
7,2021-11-02,9:26,615,2021-11-02,16:26,1845,2021-11-03,11:18,4263,During,G,20.3,64.21568627,13.03578431,5,5.343995094,0.696631674
8,2021-11-02,9:27,545,2021-11-02,16:27,1755,2021-11-03,11:19,3914,During,G,19.29,64.21568627,12.38720588,5,5.343995094,0.661971675
9,2021-11-02,9:28,583,2021-11-02,16:27,1216,2021-11-03,11:19,2401,During,V,20.7,64.21568627,13.29264706,5,5.343995094,0.710358407
10,2021-11-02,9:29,594,2021-11-02,16:27,1268,2021-11-03,11:20,2451,During,V,19.67,64.21568627,12.63122549,5,5.343995094,0.67501207
11,2021-11-02,9:30,570,2021-11-02,16:28,1662,2021-11-03,11:20,2366,During,L,20.11,64.21568627,12.91377451,5,5.343995094,0.690111476
12,2021-11-02,9:31,602,2021-11-02,16:28,829,2021-11-03,11:21,1493,During,X,20.4,64.21568627,13.1,5,5.343995094,0.700063357
13,2021-11-02,9:32,590,2021-11-02,16:33,2002,2021-11-03,11:21,4228,During,G,17.4,61.66666667,10.73,6,5.636248589,0.604769474
14,2021-11-02,9:33,619,2021-11-02,16:33,1767,2021-11-03,11:22,3902,During,G,18.66,61.66666667,11.507,6,5.636248589,0.648563125
15,2021-11-02,9:34,585,2021-11-02,16:33,1120,2021-11-03,11:22,2040,During,V,18.3,61.66666667,11.285,6,5.636248589,0.636050653
16,2021-11-02,9:35,578,2021-11-02,16:34,1049,2021-11-03,11:22,1916,During,V,17.73,61.66666667,10.9335,6,5.636248589,0.61623924
17,2021-11-02,9:36,558,2021-11-02,16:34,1449,2021-11-03,11:23,2137,During,L,17.76,61.66666667,10.952,6,5.636248589,0.617281946
18,2021-11-02,9:37,586,2021-11-02,16:34,747,2021-11-03,11:23,1115,During,X,16.8,61.66666667,10.36,6,5.636248589,0.583915354
19,2021-11-02,9:39,588,2021-11-02,16:35,1491,2021-11-03,11:24,3907,During,G,18.03,63.7987013,11.50290584,8,6.065692902,0.697730943
20,2021-11-02,9:40,581,2021-11-02,16:35,1554,2021-11-03,11:24,3755,During,G,18.98,63.7987013,12.10899351,8,6.065692902,0.73449436
21,2021-11-02,9:41,579,2021-11-02,16:36,1085,2021-11-03,11:24,1555,During,V,18.47,63.7987013,11.78362013,8,6.065692902,0.71475821
22,2021-11-02,9:42,617,2021-11-02,16:37,1183,2021-11-03,11:25,1943,During,V,18.53,63.7987013,11.82189935,8,6.065692902,0.71708011
23,2021-11-02,9:43,586,2021-11-02,16:37,1451,2021-11-03,11:25,2181,During,L,19.05,63.7987013,12.1536526,8,6.065692902,0.737203243
24,2021-11-02,9:43,600,2021-11-02,16:37,787,2021-11-03,11:25,1274,During,X,18.48,63.7987013,11.79,8,6.065692902,0.715145193
25,2021-11-02,9:45,621,2021-11-02,16:38,1621,2021-11-03,11:26,3725,During,G,16.28,55.81787521,9.087150084,19,4.932963848,0.448265828
26,2021-11-02,9:46,634,2021-11-02,16:39,1564,2021-11-03,11:26,3957,During,G,16.1,55.81787521,8.986677909,19,4.932963848,0.443309572
27,2021-11-02,9:47,598,2021-11-02,16:39,1202,2021-11-03,11:27,1752,During,V,16.51,55.81787521,9.215531197,19,4.932963848,0.454598822
28,2021-11-02,9:48,590,2021-11-02,16:39,1007,2021-11-03,11:27,1862,During,V,17.27,55.81787521,9.639747049,19,4.932963848,0.475525237
29,2021-11-02,9:49,605,2021-11-02,16:40,1466,2021-11-03,11:28,2197,During,L,15.11,55.81787521,8.434080944,19,4.932963848,0.416050164
30,2021-11-02,9:50,635,2021-11-02,16:40,969,2021-11-03,11:28,1170,During,X,17.79,55.81787521,9.93,19,4.932963848,0.48984331
31,2021-11-02,9:50,651,2021-11-02,16:41,1386,2021-11-03,11:29,3378,During,G,19.55,62.88607595,12.29422785,24,7.180594921,0.8827987
32,2021-11-02,9:51,629,2021-11-02,16:41,1285,2021-11-03,11:29,3241,During,G,19.66,62.88607595,12.36340253,24,7.180594921,0.887765854
33,2021-11-02,9:52,581,2021-11-02,16:41,1068,2021-11-03,11:30,1876,During,V,20.04,62.88607595,12.60236962,24,7.180594921,0.904925113
34,2021-11-02,9:53,653,2021-11-02,16:42,912,2021-11-03,11:30,1718,During,V,20.53,62.88607595,12.91051139,24,7.180594921,0.927051525
35,2021-11-02,9:54,593,2021-11-02,16:42,1426,2021-11-03,11:30,2092,During,L,18.48,62.88607595,11.62134684,24,7.180594921,0.834481841
