sample_#,Site,Sub_Site,tin_mass,tin_wet_soil,tin_dry_soil,ProportionDrySoil,mi_g,mi_dry_g,mf_g,mf_dry_g,ph_mass,cation_tin,MicrobialBiomass_Initial_Nitrate,Nitrogen_Percent,Carbon_Percent,TOC_MIB,MicromolCO2_hr_g dry soil,MicromolCO2_hr_g soil C,DryMg_ppm,DryK_ppm,DryNa_ppm,BaseCatSum_ppm,avgpH,DryCa_ppm,CECapprox,BaseSatApprox,BaseSatMeasured,Acer_pensylvanicum,Acer_platanoides,Acer_rubrum,Acer_saccharum,Betula_alleghaniensis,Betula_lenta,Betula_papyrifera,Carpinus_caroliniana,Fagus_grandifolia,Fraxinius_americana,Fraxinus_pennsylvanica,Ostrya_virginiana,Populus_tremuloides,Prunus_serotina,Quercus_rubrum,Ulmus_americana,Unknown,ResinNitrate_ugNo3_mL,ResinAmmonium_ugNH4_mL,Nitrate_Initial,Nitrate_Final,Nitrification,Ammonium_Initial,Ammonium_Final,Q10,R20,data.Plot,Biomass,BA,Biomass_Pi,BA_Pi,SoilMoisture_Mean,asymp.k,A,AvgSM_DBH,dAIC_A,dAIC_S,MacroFraction,MicroFraction,S+CFraction,FineRootFraction,SM_prop,,MicroFraction,avgpH,DryCa_ppm,A,Carbon_Percent
23,Lower,LowerB,1.3,12.93,9.79,0.730008598,9.77,7.132184007,9.33,6.810980219,10.47,12.19,41.16523413,0.327041626,5.453828812,0.218583132,0.050743041,13.40757128,35.85512401,196.9312197,139.3270348,617.3588139,4.42,245.2454354,33.59574144,0.078454629,0.017182697,,,,,,,,,,,,,,,,,,0.706608859,23.95932127,,,,,,1.0075011,3.853745,,,,,,27.51429,1.800962921,0.836157522,,0,,0.738652953,0.146950896,0.039024552,0.001515711,0.33333333,,0.146950896,4.42,245.2454354,0.836157522,5.453828812
24,Lower,LowerB,1.29,10.47,7.7,0.698257081,8.65,6.039923747,8.48,5.921220047,10.54,11.56,39.66131446,0.489838034,7.180594921,0.52706078,0.052581483,9.965511396,62.54502052,222.0729684,136.7609862,947.8124012,4.80666667,526.4334261,30.63740645,0.140919451,0.033807705,,,,,,,,,,,,,,,,,,0.680930373,8.546753931,23.03893649,29.83438195,6.795445464,89.73248692,111.7596405,2.0442031,3.917597,,,,,,27.13333,2.100604456,0.918397509,,0,,0.738786611,0.128435146,0.041988842,0.002152704,0.15384615,,0.128435146,4.80666667,526.4334261,0.918397509,7.180594921
25,Upper,UpperA,1.29,10.99,7.27,0.616494845,7.65,4.716185567,7.14,4.401773193,8.63,12.97,42.69401985,0.752260864,11.48285675,0.795474896,0.069915438,7.623642282,53.80154179,331.0471462,224.4669367,996.5334421,4.16666667,387.2178175,38.20921727,0.110162354,0.027233731,0,0,0.583333333,0,0,0,0.166666667,0.166666667,0,0,0,0.083333333,0,0,0,0,0,0.699975924,47.53935838,,,,,,1.6785466,3.990634,25,0,0,0,0,23.4625,1.055658443,0.917552488,,0,,0.776470932,0.12150745,0.033184341,0.001629518,0.16666667,,0.12150745,4.16666667,387.2178175,0.917552488,11.48285675
26,Upper,UpperA,1.29,8.21,6.02,0.683526012,8.44,5.768959538,8.73,5.967182085,10.73,13.01,32.93180427,0.679911196,9.841170311,0.221190224,0.046636544,6.750444488,42.00889345,300.6275978,127.5143294,1437.298389,4.05666667,967.147568,41.83106203,0.155651369,0.035536857,0,0,0.428571429,0.142857143,0,0.285714286,0,0,0,0,0,0,0,0.142857143,0,0,0,0.718229786,10.25941581,,,,,,2.3898594,5.431252,26,16.31709314,40.6944,0.012282286,0.018915428,25.0875,1.458449509,0.930640594,7.2,0,,0.727907582,0.128877319,0.041688903,0.00441982,0.28571429,,0.128877319,4.05666667,967.147568,0.930640594,9.841170311
27,Upper,UpperA,1.3,12.22,8.68,0.675824176,8.71,5.886428571,9.45,6.386538463,7.2,12.7,35.15018359,0.583655655,8.818330765,0.440789963,0.058168086,9.281386083,22.89532037,249.7896449,133.8735571,554.6688506,3.97666667,148.1103283,38.43389115,0.056041455,0.01304212,0.222222222,0,0.222222222,0.222222222,0,0.222222222,0,0,0.111111111,0,0,0,0,0,0,0,0,0.766906751,30.84684678,,,,,,2.2363155,4.607166,27,50.0223699,114.55505,0.038673889,0.066579069,26.1625,2.886325005,0.950847289,8.45,0,,0.754950209,0.114465146,0.036415034,0.004570495,0.22222222,,0.114465146,3.97666667,148.1103283,0.950847289,8.818330765
28,Upper,UpperA,1.29,8.83,6.63,0.708222812,9.1,6.444827586,8.86,6.274854114,11.06,13.19,32.40540189,0.646465182,9.722034454,0.546317491,0.057946832,8.881538199,39.76130836,332.2597588,222.5449445,868.5161927,4.24333333,273.9501811,36.60063,0.09619042,0.015334921,0,0,0.375,0.25,0,0,0,0,0.125,0,0,0,0,0.125,0,0.125,0,0.684530349,12.35550744,,,,,,1.6944887,3.485113,28,85.3903587,172.0249,0.048992902,0.063634859,23.8875,2.424829388,0.961090243,9.9,0,,0.823580465,0.084951456,0.029199765,0.010378691,0.25,,0.084951456,4.24333333,273.9501811,0.961090243,9.722034454
29,Upper,UpperA,1.3,11.8,8.47,0.682857143,7.87,5.374085714,8.39,5.72917143,8.29,11.24,41.79522412,0.76018703,10.72282505,0.386963607,0.048236403,6.202001561,37.23953271,275.7570747,163.1552355,888.3963102,4.32666667,412.2444673,35.86799175,0.105609252,0.011195962,0,0,0.545454545,0.181818182,0,0,0,0,0,0,0,0.090909091,0,0.181818182,0,0,0,0.714953452,12.35550744,,,,,,2.8391933,5.0056,29,89.13935114,185.0245,0.013475383,0.025308056,25.12857,1.684391757,0.951758634,10.8,0,,0.722146119,0.12345075,0.047733203,0.002877876,0.18181818,,0.12345075,4.32666667,412.2444673,0.951758634,10.72282505
30,Upper,UpperA,1.31,12.76,9.11,0.681222707,9.83,6.696419214,9.31,6.342183402,8.57,12.51,32.0369078,0.687249839,9.716094971,0.565090654,0.042363169,5.943371664,36.11146984,266.0632499,92.239231,635.6747593,4.30333333,241.2608086,34.95048659,0.074118755,0.009827285,0,0,0.285714286,0,0,0.285714286,0,0,0.285714286,0,0,0,0,0.142857143,0,0,0,0.706528592,24.05550987,,,,,,1.787816,5.280339,30,0,0,0,0,25.4625,1.587301307,0.924114885,,0,,0.804874203,0.098960081,0.028121436,0.004736189,0.28571429,,0.098960081,4.30333333,241.2608086,0.924114885,9.716094971
31,Upper,UpperA,1.29,13.36,9.31,0.664457332,8.73,5.80071251,7.81,5.189411763,9.26,14.35,44.00052728,NA,NA,0.603796486,0.051159716,,66.09250543,261.062545,79.28522876,716.6833778,4.15333333,310.2430986,37.27609594,0.083595018,0.014089028,,,,,,,,,,,,,,,,,,0.048921513,9.657265843,,,,,,3.0550149,4.42373,,,,,,21.0875,1.489771258,0.930285492,,0,,0.815081327,0.091125569,0.033464541,0.004033445,0.04255319,,0.091125569,4.15333333,310.2430986,0.930285492,NA
32,Upper,UpperA,1.31,11.24,6.89,0.561933535,9.67,5.433897281,8.95,5.029305138,7.98,13.85,36.65073197,0.812436998,12.34071255,0.01036814,0.050883773,4.717390134,32.56278253,272.9819415,101.815989,801.4602813,4.40666667,394.0995683,34.50448623,0.098088296,0.024538948,0,0.1,0.1,0.4,0.2,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0.717761738,6.242542009,,,,,,1.3857653,4.61213,32,347.3959844,613.9799,0.128479316,0.153715838,26.45,2.694205023,0.966208827,13.1,0,,0.73717103,0.146732404,0.032074124,0.001519807,0.2,,0.146732404,4.40666667,394.0995683,0.966208827,12.34071255
33,Upper,UpperA,1.29,11.86,7.79,0.614947966,8.35,5.134815516,7.88,4.845789972,9.34,11.95,40.8111829,0.714104593,10.05654049,0.319104541,0.054778911,6.766351001,31.7708651,265.0756282,95.33001623,656.6476964,4.60333333,264.4711868,31.44127261,0.085278755,0.015825532,,,,,,,,,,,,,,,,,,0.816519812,9.131337396,41.47170001,36.63542326,-4.836276741,33.58002193,40.00940695,2.0322059,3.253707,,,,,,34.8,2.226602913,0.94821768,,0,,0.884489319,0.032436582,0.007269693,0.002937361,,,0.032436582,4.60333333,264.4711868,0.94821768,10.05654049
34,Upper,UpperA,1.3,13.58,9.85,0.696254072,8.65,6.02259772,8.65,6.022597723,10.4,12.26,32.59617418,0.468584627,5.640064716,0.354168588,0.079234253,19.79735347,42.70083303,247.2244886,69.87736611,866.4272838,5.01,506.6245961,27.70668684,0.138114198,0.028530209,0,0.2,0.1,0.2,0.3,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0.657851627,6.349252129,,,,,,1.5595547,3.602512,34,79.0872111,158.82905,0.007029411,0.012894957,24.75,2.334712604,0.866811925,9.25,0,,0.8193356,0.074014215,0.02407293,0.003347487,0.2,,0.074014215,5.01,506.6245961,0.866811925,5.640064716
35,Upper,UpperA,1.3,11.64,8.16,0.66344294,9.26,6.143481625,9.26,6.143481624,10.91,12.08,28.14792101,0.517587125,6.347381592,0.149631002,0.08283708,16.93567858,50.37797249,224.865635,75.81191248,1094.584673,5.11,743.5291533,27.72365777,0.18192613,0.027755804,0,0,0,0.4,0.1,0,0.2,0,0,0.1,0.1,0,0,0,0,0,0.1,0.66768063,11.69238027,-0.009993367,33.85499571,33.86498908,8.400669746,56.86853215,2.2111819,3.163007,35,133.2695126,288.9742,0.022982458,0.042586913,27.025,2.921627392,0.890528027,9.45,0,,0.827811634,0.075669437,0.020212373,0.001148447,0.2,,0.075669437,5.11,743.5291533,0.890528027,6.347381592
36,Upper,UpperA,1.28,12.79,8.93,0.664639444,9.79,6.506820156,9.37,6.22767159,9.04,14.52,23.77617809,0.781122208,9.551564217,0.745438993,0.039551391,5.421751339,67.89915498,250.1333946,62.51490556,782.892479,4.58,402.3450238,32.53072303,0.107305424,0.016558731,0.076923077,0.230769231,0.076923077,0.384615385,0.076923077,0,0,0,0,0,0,0.153846154,0,0,0,0,0,0.748184842,6.882802728,27.1515942,27.67252126,0.520927059,9.465482742,6.011678334,1.4402627,3.848068,36,471.823579,820.01885,0.308028851,0.321326513,28.075,0.083201868,NA,13.62,NA,,0.720162369,0.157338427,0.033441579,0.003530905,0.14285714,,0.157338427,4.58,402.3450238,NA,9.551564217
37,Upper,UpperA,1.29,12.79,7.99,0.582608696,8.27,4.818173913,7.48,4.357913046,7.99,12.45,58.60497708,0.553344309,7.161242485,NA,0.07200373,11.1827729,35.34504835,261.2056945,83.39909873,748.1658305,4.36,368.2159889,34.84798498,0.090908699,0.018247569,,,,,,,,,,,,,,,,,,0.814179573,8.704496916,30.18521045,33.99045445,3.805244004,7.146838754,19.71377502,1.1895586,3.417692,,,,,,33.9625,2.664981801,0.911126234,,0,,0.7973864,0.107943925,0.056667741,0.003094239,0.14285714,,0.107943925,4.36,368.2159889,0.911126234,7.161242485
38,Upper,UpperA,1.29,10.4,7.03,0.630076839,9.09,5.727398463,8.47,5.336750826,10.64,11.52,54.60312244,0.571226954,8.18083477,0.194032572,0.036625789,5.475306311,38.39054712,272.9247862,94.24137958,840.613962,4.67,435.0572491,31.56475974,0.114202033,0.018520823,,,,,,,,,,,,,,,,,,0.618535617,6.616027429,,,,,,2.5132261,3.823826,,,,,,39.3875,1.067769114,0.840904978,,0,,0.705080123,0.145612001,0.03326628,0.000209574,0.33333333,,0.145612001,4.67,435.0572491,0.840904978,8.18083477
39,Upper,UpperA,1.29,11.61,7.95,0.645348837,8.92,5.756511628,8.64,5.575813952,9.91,12.64,47.30128896,0.743806958,10.55324173,0.281460301,0.039541976,5.109360022,59.19286269,248.1753285,86.61020014,1090.404755,4.90666667,696.4263633,30.10831872,0.165679087,0.039262548,,,,,,,,,,,,,,,,,,0.687338635,9.199936758,,,,,,2.1997622,4.450295,,,,,,33.0625,0.084448285,NA,,NA,,0.76313645,0.102713203,0,0.003994033,0.04347826,,0.102713203,4.90666667,696.4263633,NA,10.55324173
40,Upper,UpperA,1.3,13.37,8.84,0.624689312,8.84,5.522253521,9.27,5.790869922,8.67,14.28,54.97027109,0.864759266,10.97693634,NA,0.050053891,5.625846463,32.00897808,206.8421099,79.0787922,619.2611871,4.45333333,301.3313069,33.20758328,0.079728272,0.028979124,,,,,,,,,,,,,,,,,,0.867537016,8.361500103,,,,,,1.949715,4.972124,,,,,,26.0875,3.052341722,0.949490737,,0,,0.77400203,0.116975643,0.032598106,0.00155941,0.04878049,,0.116975643,4.45333333,301.3313069,0.949490737,10.97693634
41,Upper,UpperB,1.29,11.39,7.7,0.634653465,8.47,5.375514851,7.69,4.880485146,10.39,12.1,61.30230035,0.456100821,5.697829247,0.009564172,0.067580098,14.84406871,35.61645147,228.2656419,90.04200107,645.919511,4.22,291.9954166,36.09356432,0.075735505,0.507286678,,,,,,,,,,,,,,,,,,0.741632173,10.53381326,,,,,,1.5455516,8.021073,41,122.8150011,213.71625,0.019952949,0.03165245,25.87143,2.248639077,0.807282627,,0,,0.770223411,0.137070485,0.036107615,0.003330092,0.18181818,,0.137070485,4.22,291.9954166,0.807282627,5.697829247
42,Upper,UpperB,1.3,8.94,5.85,0.595549738,8.38,4.990706806,8.31,4.949018323,11.19,11.77,69.57601625,0.93843168,14.23379421,0.178192551,0.043830707,3.687974461,57.14829245,305.709148,102.5925021,837.160046,3.98,371.7101034,39.80471025,0.089554986,0.029169189,,,,,,,,,,,,,,,,,,0.814647621,32.85909475,,,,,,1.5506338,4.055238,,,,,,26.2125,0.036164628,NA,,NA,,0.74732852,0.142438464,0.037197243,0.00198282,0.25,,0.142438464,3.98,371.7101034,NA,14.23379421
43,Upper,UpperB,1.3,10.3,7.18,0.653333333,8.53,5.572933333,9.34,6.10213333,7.82,12.1,49.1376713,0.558036566,8.453521729,0.085580566,0.041130254,6.316207633,49.30003629,224.3961084,93.52549244,679.2988241,4.20666667,312.077187,36.47322674,0.080969715,0.022583156,,,,,,,,,,,,,,,,,,0.662064057,46.99056348,57.43504689,34.70462427,-22.73042262,7.606096192,49.43286089,1.4138226,4.689197,43,252.8824184,386.8794,0.101685199,0.114092049,31.64286,2.688568362,0.926552127,,0,,0.726783847,0.163227775,0.04399477,0.003350515,0.28571429,,0.163227775,4.20666667,312.077187,0.926552127,8.453521729
44,Upper,UpperB,1.3,13.25,9.37,0.675313808,8.32,5.618610879,8.6,5.807698749,9.98,13.77,45.86354999,0.659802258,9.90408802,NA,0.066488477,9.262023727,32.38488991,168.2015929,62.78759313,520.9347215,4.12,257.5606456,36.82195298,0.061429468,0.016722265,,,,,,,,,,,,,,,,,,0.77345942,6.898047031,,,,,,1.0924553,6.549684,,,,,,25.41667,2.47859475,0.960361407,,0,,0.731403567,0.121988111,0.050726552,0.00525152,0.33333333,,0.121988111,4.12,257.5606456,0.960361407,9.90408802
45,Upper,UpperB,1.3,11.58,8.39,0.689688716,8.09,5.579581712,8.58,5.917529183,10.27,11.06,52.39072147,0.506547689,6.94092989,0.338441451,,,44.94034065,231.7993968,89.82182151,733.8836515,4.28,367.3220925,35.83600039,0.089184071,0.015208846,,,,,,,,,,,,,,,,,,0.688742778,6.372118583,,,,,,2.1192281,5.665453,,,,,,23.225,0.307009104,0.809178171,,2.685129689,,0.819624183,0.09329085,0.025630719,0.005676671,0.0952381,,0.09329085,4.28,367.3220925,0.809178171,6.94092989
46,Upper,UpperB,1.29,8.88,5.26,0.523056653,7.51,3.928155468,7.84,4.10076416,8.64,13.94,75.23852325,0.792887092,11.60870743,0.487965285,,,NA,NA,NA,NA,4.32,NA,39.92815827,0.194553383,0.041786722,,,,,,,,,,,,,,,,,,0.875493828,65.77154456,,,,,,0.7311502,7.369389,,,,,,24.98,0,NA,,NA,,0.851724704,0.047000657,0.008876478,0.002952623,0.125,,0.047000657,4.32,NA,NA,11.60870743
47,Upper,UpperB,1.31,10.17,6.09,0.539503386,8.38,4.521038375,8.1,4.369977427,8.71,12.21,52.79655407,1.339398265,18.55317497,0.222391597,0.036856896,2.198165334,69.63223883,245.6682444,97.05967393,772.3340323,3.93333333,359.9738751,40.23205523,0.085306484,4.137472999,,,,,,,,,,,,,,,,,,0.7879689,7.561174204,56.8519341,38.65345733,-18.19847678,19.60893881,269.9012836,2.0070118,5.505434,,,,,,30.325,0.018954846,NA,,NA,,0.758877285,0.091488251,0.047127937,0.00281696,,,0.091488251,3.93333333,359.9738751,NA,18.55317497
48,Upper,UpperB,1.33,10.82,7.19,0.617492097,8.24,5.088134879,8.16,5.038735512,10.11,12.77,41.27448326,0.861648977,12.22379303,0.23645085,0.241920631,11.3042058,62.98141693,203.930621,99.15897454,771.4843956,4.40333333,405.4133831,34.6659371,0.101134928,0.033353732,,,,,,,,,,,,,,,,,,0.835241722,8.117591257,,,,,,1.8650693,6.009381,,,,,,28.6875,1.347781962,0.826619584,,0,,0.824390095,0.084701926,0.021403241,0.004156687,,,0.084701926,4.40333333,405.4133831,0.826619584,12.22379303