Plot,LitterMass
1,5.769
1,9.18
1,23.68
1,11.18
1,3.64
1,9.85
1,5.78
2,20.99
2,8.12
2,1.67
2,0.74
2,2.73
2,4.9
3,7.0397
3,18.29
3,9.02
3,1.79
3,6.46
3,5.74
4,3.8418
4,0.12
4,35.39
4,5.2
5,15.34
5,29.95
5,9.99
5,7.82
6,0.4923
6,19.36
6,32.05
6,3.91
6,8.7
6,2.6
7,0.8968
7,13.58
7,27.51
7,3.29
7,3.99
7,3.3
8,0.7787
8,7.42
8,22.08
8,15.11
8,8.55
9,4.4661
9,24.09
9,8.9
9,1.14
9,0.33
9,7.23
9,9.94
10,13.7
10,27.39
10,6.92
10,6.79
10,2.74
11,22.88
11,26.89
11,8.8
11,7.75
11,0.93
11,2.89
12,9.95
12,36.33
12,3.81
12,3.78
13,26.76
13,4.81
13,14.16
13,2.76
14,20.06
14,37.33
14,3.58
14,0.29
14,11.341
14,0.75
15,15.03
15,8.43
15,6.99
15,3.56
16,1.594
16,8.04
16,4.67
16,0.57
16,10.4
16,2.12
17,28.3
17,3.07
17,0.26
17,11.9
17,0.63
18,19.71
18,1.78
18,4.4
18,1.2
19,5.51
19,8.17
19,2.19
19,1.15
20,1.5565
20,4.623
20,7.34
20,4.61
20,0.73
21,4.775
21,9.34
21,0.58
21,0.94
22,6.35
22,6.91
22,35.89
22,5.83
22,4.09
22,2.52
23,2.226
23,6.43
23,5.69
24,6.74
24,4.5
24,1.13
24,0.82
25,21.44
25,3.6
25,6.57
25,1.52
26,0.853
26,29.84
26,11.97
26,1.84
26,3.03
27,0.8176
27,23.95
27,2.09
27,17.87
28,26.07
28,1.41
28,0.63
28,12.26
28,3.62
29,20.94
29,47.98
29,1.5
29,3.88
30,23.04
30,5.38
30,23.79
30,16.65
30,4.68
31,21.35
31,23.15
31,1.71
31,8.25
32,0.749
32,24.86
32,15.45
32,0.99
33,17.65
33,1.72
33,17.05
34,25.74
34,26.96
34,1.08
34,2.72
34,8.57
35,19.75
35,31.6
35,1.15
35,2.53
36,16.47
36,27.98
36,2.83
37,18.96
37,26.2
37,0.95
37,1.78
38,0.5734
38,24.04
38,17.98
38,0.54
39,42.54
39,42.27
39,18.09
39,0.34
39,2.79
40,20.23
40,17.08
40,1.08
40,2.03
40,2.56
41,16.23
41,23.26
41,2.1
41,2.26
42,1.0333
42,17.42
42,3.14
43,20.14
43,18.59
43,2.09
43,4.05
44,23.12
44,2.98
45,19.96
45,29.08
45,7.1
45,4.4
46,12.76
46,26.84
46,2.47
46,3.61
47,18.45
47,18.52
47,22.3
47,2.87
47,2.28
48,18.77
48,12.3
48,3.19
48,4.15
23,7.02