,X,Plot,R,Slope,SoilTemp_C,SoilMoisture_Percent,DOY,Site,Fungi
259,19,19,0.996284894,5.183678183,25.8,28.4,221,Lower,FALSE
260,20,20,0.994315708,3.60912526,25.9,14.9,221,Lower,FALSE
261,21,21,0.997819149,4.77815297,26.1,11.4,221,Lower,FALSE
263,23,23,0.941608254,2.23879987,25.9,11.7,221,Lower,FALSE
264,24,24,0.991802514,5.017802992,25.6,11.8,221,Lower,FALSE
265,1,25,0.980323096,4.375847935,21.7,22.1,222,Upper,FALSE
266,2,26,0.993105352,4.966856959,22.1,24,222,Upper,FALSE
267,3,27,0.997859398,5.505078835,22.1,23.8,222,Upper,FALSE
268,4,28,0.993978038,3.893242611,21.7,22.9,222,Upper,FALSE
269,5,29,0.996348221,4.612672622,21.5,21.8,222,Upper,FALSE
270,6,30,0.997058232,5.185659809,21.5,22.5,222,Upper,FALSE
271,7,31,0.996055437,4.229938458,21.5,23.6,222,Upper,FALSE
272,8,32,0.997468124,5.363538818,21.3,22.7,222,Upper,FALSE
273,9,33,0.994839468,3.811404422,21.1,22.4,222,Upper,FALSE
274,10,34,0.996445896,4.528895242,21.3,22.1,222,Upper,FALSE
275,11,35,0.988350629,3.462945285,21.5,22.5,222,Upper,FALSE
276,12,36,0.983429613,4.199393483,21.5,22.6,222,Upper,FALSE
277,13,37,0.995378369,4.142499996,21.1,22.6,222,Upper,FALSE
278,14,38,0.993161704,4.617834869,21.9,23.8,222,Upper,FALSE
279,15,39,0.995046631,4.836465946,21.7,23.6,222,Upper,FALSE
280,16,40,0.995894774,4.843600206,21.5,23.4,222,Upper,FALSE
282,18,42,0.993985668,4.21053768,23,23.4,222,Upper,FALSE
283,19,43,0.994090903,5.259240667,23,24.7,222,Upper,FALSE
284,20,44,0.997448478,7.108500127,23,23.1,222,Upper,FALSE
285,21,45,0.995909893,6.13564821,22.8,23.2,222,Upper,FALSE
286,22,46,0.997627554,4.979639394,22.8,24.6,222,Upper,FALSE
287,23,47,0.992717723,5.758047454,23,25.5,222,Upper,FALSE
288,24,48,0.996420828,5.94345701,23,24.7,222,Upper,FALSE
289,1,1,0.947955257,1.69101397,17.5,40.2,280,Lower,FALSE
291,3,3,0.992660342,3.789677691,15,26.1,280,Lower,FALSE
293,5,5,0.989644015,2.571368431,13.5,34,280,Lower,FALSE
295,7,7,0.975042985,3.33847039,13.1,49.6,280,Lower,FALSE
296,8,8,0.980672008,2.731724292,13.8,38.2,280,Lower,FALSE
297,9,9,0.988644603,2.55799586,13.1,38.8,280,Lower,FALSE
298,10,10,0.980134776,2.892830741,13.1,53.1,280,Lower,FALSE
299,11,11,0.982258963,2.631508183,13.3,51.3,280,Lower,FALSE
300,12,12,0.965237786,1.13898002,13.3,46.9,280,Lower,FALSE
301,13,13,0.991854923,3.64134089,13.4,46.9,280,Lower,FALSE
302,14,14,0.982759462,2.061048247,13.4,55.6,280,Lower,FALSE
303,15,15,0.983524361,3.22248683,13.3,35.6,280,Lower,FALSE
304,16,16,0.968801824,1.858443509,13.3,29.3,280,Lower,FALSE
305,17,17,0.981369538,4.586783617,13.7,12.1,280,Lower,FALSE
306,18,18,0.9634914,2.180359324,13.3,43.2,280,Lower,FALSE
307,19,19,0.986669225,2.56555859,12.7,37.2,280,Lower,FALSE
308,20,20,0.982161066,2.274198818,13.1,27.1,280,Lower,FALSE
309,21,21,0.964392864,1.633109445,13.1,31.8,280,Lower,FALSE
310,22,22,0.978909009,2.101987064,12.8,33.7,280,Lower,FALSE
313,1,25,0.988549815,2.460897768,15,26.7,283,Upper,FALSE
314,2,26,0.993807353,3.381189997,15.8,21.5,283,Upper,FALSE
315,3,27,0.951278547,1.846848163,16.3,23.7,283,Upper,FALSE
316,4,28,0.97807389,1.937448084,15.4,19.5,283,Upper,FALSE
317,5,29,0.994838018,4.404129656,14.7,24.9,283,Upper,FALSE
318,6,30,0.990088531,2.785637575,14.4,21.6,283,Upper,FALSE
319,7,31,0.977808837,2.635618552,14.3,26.5,283,Upper,FALSE
320,8,32,0.976628892,2.124831673,14.3,23.2,283,Upper,FALSE
321,9,33,0.893223229,1.129487456,14.1,32.7,283,Upper,FALSE
322,10,34,0.957439601,1.07018937,14,22.7,283,Upper,FALSE
323,11,35,0.940952719,1.261599556,13.8,22.4,283,Upper,FALSE
324,12,36,0.945693493,1.594440002,13.8,28.3,283,Upper,FALSE
325,13,37,0.972986233,1.683186717,14.1,28.8,283,Upper,FALSE
326,14,38,0.971117024,1.891521944,13.8,46.9,283,Upper,FALSE
327,15,39,0.980190792,2.409274574,13.8,16.4,283,Upper,FALSE
328,16,40,0.973178256,3.108849893,13.7,25.6,283,Upper,FALSE
329,17,41,0.996429038,5.53864307,13.8,21.5,283,Upper,FALSE
330,18,42,0.982958628,1.946815935,13.8,31.2,283,Upper,FALSE
331,19,43,0.981676565,1.991409859,13.7,34,283,Upper,FALSE
332,20,44,0.978884257,2.461252127,13.7,27.1,283,Upper,FALSE
333,21,45,0.992873193,3.206575831,13.8,24,283,Upper,FALSE
334,22,46,0.999238761,12.60722197,13.7,18,283,Upper,FALSE
335,23,47,0.993001276,3.377169988,13.7,32.9,283,Upper,FALSE
336,24,48,0.991849615,2.9721396,13.7,21.7,283,Upper,FALSE
337,1,1,0.985955843,1.958156033,13.33333333,41.6,294,Lower,FALSE
338,2,2,0.989369921,2.207219978,12.22222222,34.7,294,Lower,FALSE
339,3,3,0.991739171,3.365225293,11.11111111,34.9,294,Lower,FALSE
340,4,4,0.985590558,2.780081874,13.33333333,25,294,Lower,FALSE
341,5,5,0.960979931,2.003510526,12.77777778,34.2,294,Lower,FALSE
342,6,6,0.991905583,4.341059683,15,42.6,294,Lower,TRUE
343,7,7,0.977553693,2.320350158,13.88888889,37.2,294,Lower,FALSE
344,8,8,0.9768714,2.51237098,13.33333333,34,294,Lower,FALSE
345,9,9,0.986438155,2.786903039,12.77777778,33.8,294,Lower,FALSE
346,10,10,0.991111295,2.82076173,13.33333333,42.3,294,Lower,FALSE
347,11,11,0.928540702,1.984315843,13.33333333,53.4,294,Lower,FALSE
348,12,12,0.97384533,2.157997713,11.66666667,45.3,294,Lower,FALSE
349,13,13,0.992420601,4.86844694,15,39.2,294,Lower,FALSE
350,14,14,0.987307147,2.752608218,12.77777778,43.4,294,Lower,FALSE
351,15,15,0.990141777,3.1903205,13.33333333,37.2,294,Lower,FALSE
352,16,16,0.927016836,1.788623856,13.88888889,35,294,Lower,FALSE
353,17,17,0.991739459,4.882099591,12.22222222,38,294,Lower,FALSE
354,18,18,0.997204326,7.476768563,13.88888889,39.6,294,Lower,FALSE
355,19,19,0.987944184,2.037627437,15,36.8,294,Lower,FALSE
356,20,20,0.948306322,1.568289203,17.77777778,29.8,294,Lower,FALSE
357,21,21,0.94834356,1.38560416,18.33333333,23.7,294,Lower,FALSE
358,22,22,0.978726021,2.14268095,17.22222222,32.4,294,Lower,FALSE
359,23,23,0.996182148,8.631392294,17.77777778,30,294,Lower,FALSE
360,24,24,0.994725197,4.506086637,16.11111111,30.4,294,Lower,FALSE
361,1,25,0.974951059,1.711552809,10,27.8,297,Upper,FALSE
362,2,26,0.919505253,1.097565289,8.888888889,22,297,Upper,FALSE
363,3,27,0.935946288,1.17612825,8.333333333,31.4,297,Upper,FALSE
364,4,28,0.92141249,1.23007736,8.888888889,17.4,297,Upper,FALSE
365,5,29,0.825635517,0.777286679,7.222222222,23.9,297,Upper,FALSE
366,6,30,0.96586409,1.966414878,8.888888889,22.8,297,Upper,FALSE
367,7,31,0.959479073,2.11967237,10.55555556,13.3,297,Upper,FALSE
368,8,32,0.980891464,2.561921102,10.55555556,34.2,297,Upper,FALSE
369,9,33,0.881475423,1.277761194,11.11111111,31.4,297,Upper,FALSE
370,10,34,0.728078818,1.277047143,7.777777778,31.8,297,Upper,FALSE
371,11,35,0.926075722,0.848256551,7.222222222,25.9,297,Upper,FALSE
372,12,36,0.963578584,1.85806675,8.888888889,38.3,297,Upper,FALSE
373,13,37,0.978329514,2.254077747,11.11111111,37,297,Upper,FALSE
374,14,38,0.875539387,1.028226123,8.888888889,38.4,297,Upper,FALSE
375,15,39,0.886849015,1.311014886,7.777777778,39,297,Upper,FALSE
376,16,40,0.958740194,1.779735628,9.444444444,28,297,Upper,FALSE
377,17,41,0.988178542,5.60825371,6.666666667,31.1,297,Upper,FALSE
378,18,42,0.980880468,2.648317372,9.444444444,30.9,297,Upper,FALSE
379,19,43,0.974921363,2.797284271,8.333333333,28.8,297,Upper,FALSE
380,20,44,0.985569354,2.969236021,10.55555556,31.9,297,Upper,TRUE
381,21,45,0.973402259,2.667361761,10,24.7,297,Upper,FALSE
382,22,46,0.997256096,7.32543366,9.444444444,19.9,297,Upper,TRUE
383,23,47,0.980010187,1.934143329,8.888888889,32.1,297,Upper,FALSE
384,24,48,0.979972963,2.238848885,10,36.6,297,Upper,FALSE
385,1,25,0.89950394,1.017145782,7.222222222,17.8,311,Upper,FALSE
386,2,26,0.953604629,1.219041937,7.777777778,23.8,311,Upper,FALSE
387,3,27,0.899799043,1.002474824,6.666666667,19.2,311,Upper,FALSE
388,4,28,0.92141249,1.23007736,6.111111111,26.6,311,Upper,FALSE
389,5,29,0.933985544,1.01909557,5.555555556,25.9,311,Upper,FALSE
390,6,30,0.958585129,1.429425779,7.222222222,28.5,311,Upper,FALSE
391,7,31,0.71374173,0.713954329,5.555555556,24.3,311,Upper,FALSE
392,8,32,0.959946571,1.997127752,8.333333333,29.8,311,Upper,FALSE
393,9,33,0.89694776,0.624345091,7.222222222,41.6,311,Upper,FALSE
394,10,34,0.968669314,1.494155193,3.888888889,24.3,311,Upper,FALSE
395,11,35,0.873003386,1.099223683,6.666666667,35.2,311,Upper,FALSE
396,12,36,0.944722544,1.530967622,6.666666667,22.1,311,Upper,FALSE
397,13,37,0.976571441,1.863029628,8.333333333,39.6,311,Upper,FALSE
398,14,38,0.853284344,0.693502715,6.666666667,39.7,311,Upper,FALSE
399,15,39,0.930403041,1.037777551,5,34.1,311,Upper,FALSE
400,16,40,0.890941689,1.328927595,5.555555556,25.2,311,Upper,FALSE
401,17,41,0.97609379,2.583566695,6.666666667,15.7,311,Upper,FALSE
402,18,42,0.865720268,1.097598624,5,26,311,Upper,FALSE
403,19,43,0.96743868,1.873604481,3.888888889,30.1,311,Upper,FALSE
404,20,44,0.967178507,1.641064262,6.666666667,30.8,311,Upper,TRUE
405,21,45,0.929022302,1.06559005,6.666666667,21.8,311,Upper,FALSE
406,22,46,0.991240391,4.267134877,5,17.5,311,Upper,TRUE
407,23,47,0.914784501,1.032973272,6.666666667,37.7,311,Upper,FALSE
408,24,48,0.957233123,1.517747847,5,32.8,311,Upper,FALSE
409,1,1,0.964423443,1.723044567,4.444444444,31.8,313,Lower,FALSE
410,2,2,0.741510462,0.598839389,3.888888889,23.3,313,Lower,FALSE
411,3,3,0.977533738,1.71794323,3.888888889,32.2,313,Lower,FALSE
412,4,4,0.964590823,1.433636688,6.111111111,26.1,313,Lower,FALSE
413,5,5,0.850911397,0.938041787,5,28,313,Lower,FALSE
414,6,6,0.985473043,2.510315437,5,33.3,313,Lower,TRUE
415,7,7,0.96427701,1.355285135,5,40.7,313,Lower,FALSE
416,8,8,0.957030825,1.60025153,4.444444444,31.6,313,Lower,FALSE
417,9,9,0.942514251,1.138613743,5,26.7,313,Lower,FALSE
418,10,10,0.911894664,1.039056534,4.444444444,41.6,313,Lower,FALSE
419,11,11,0.941071627,1.209433835,5,38.9,313,Lower,FALSE
420,12,12,0.945797569,1.576880037,6.666666667,42.1,313,Lower,FALSE
421,13,13,0.987508841,2.948044268,7.777777778,40.4,313,Lower,FALSE
422,14,14,0.872270312,0.930720635,5.555555556,42.8,313,Lower,FALSE
423,15,15,0.952197659,1.873083894,6.666666667,23.4,313,Lower,FALSE
424,16,16,0.887380516,1.294804949,5,18.9,313,Lower,FALSE
425,17,17,0.979163066,2.977573138,6.666666667,33.4,313,Lower,FALSE
426,18,18,0.932526249,1.798299447,6.111111111,38.9,313,Lower,FALSE
427,19,19,0.921425743,1.515789125,6.666666667,32.7,313,Lower,FALSE
428,20,20,0.909877361,1.217989464,10,28.9,313,Lower,FALSE
429,21,21,0.896561733,1.288364665,10,28.5,313,Lower,FALSE
430,22,22,0.82128328,0.922249823,10.55555556,25.8,313,Lower,FALSE
431,23,23,0.875501464,1.079745835,10,26,313,Lower,FALSE
432,24,24,0.891921467,1.029377559,10.55555556,20.2,313,Lower,FALSE
434,2,2,0.926666576,1.127063188,5,34.9,325,Lower,FALSE
435,3,3,0.961649662,1.803741843,6.666666667,24.5,325,Lower,FALSE
436,4,4,0.860805861,0.846641905,6.666666667,28.9,325,Lower,FALSE
437,5,5,0.896056372,2.544854529,6.111111111,39.7,325,Lower,FALSE
438,6,6,0.986705914,9.698836564,6.666666667,39.3,325,Lower,TRUE
439,7,7,0.995258637,17.14457554,6.666666667,38.9,325,Lower,FALSE
440,8,8,0.952122685,2.200681324,6.666666667,29.4,325,Lower,FALSE
441,9,9,0.99853487,11.40210286,3.888888889,33.1,325,Lower,FALSE
442,10,10,0.925698301,1.242274927,5.555555556,43.9,325,Lower,FALSE
443,11,11,0.847717905,0.95076344,4.444444444,48.1,325,Lower,FALSE
445,13,13,0.995265647,13.92281272,7.777777778,42.1,325,Lower,FALSE
446,14,14,0.999181306,15.39661493,5,57,325,Lower,FALSE
447,15,15,0.997987373,10.62680863,5,36.9,325,Lower,FALSE
448,16,16,0.995920016,6.934569372,5,26.7,325,Lower,FALSE
450,18,18,0.894562164,1.087543544,5.555555556,47.6,325,Lower,FALSE
451,19,19,0.966550641,2.067422249,6.666666667,47,325,Lower,FALSE
452,20,20,0.994193933,4.867418066,5,32.8,325,Lower,FALSE
453,21,21,0.987086285,3.278796391,6.666666667,44.2,325,Lower,FALSE
454,22,22,0.937750806,1.444251226,5,32.8,325,Lower,FALSE
455,23,23,0.995291662,4.435449327,3.888888889,40,325,Lower,FALSE
456,24,24,0.930296231,1.153594644,5.555555556,28.6,325,Lower,FALSE